Order Date,Ship Mode,Customer Name,Segment,City,Product Name,Sales
2019-01-20,Standard Class,Hunter Lopez,Consumer,Jonesboro,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94
2019-01-20,Standard Class,,Consumer,Westland,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05
2019-01-20,Standard Class,,Consumer,Westland,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94
2019-01-20,Standard Class,,Consumer,Westland,Eldon Fold 'N Roll Cart System,13.98
2019-01-20,Standard Class,Hunter Lopez,Consumer,Jonesboro,Staple envelope,23.34
2019-01-20,Standard Class,Hunter Lopez,Consumer,Jonesboro,Newell 351,22.96
2019-01-20,Standard Class,Mark Van Huff,Consumer,Los Angeles,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
2019-01-20,Standard Class,,Consumer,Westland,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72
2019-01-20,Standard Class,Hunter Lopez,Consumer,Jonesboro,Apple iPhone 5C,699.93
2019-01-21,Second Class,Tom Boeckenhauer,Consumer,Miami,Ultra Door Pull Handle,25.25
2019-01-23,Standard Class,Speros Goranitis,Consumer,Lafayette,"Alliance Big Bands Rubber Bands, 12/Pack",5.94
2019-01-23,Standard Class,Ionia McGrath,Consumer,Las Vegas,Xerox 195,40.08
2019-01-26,Standard Class,Shirley Daniels,Home Office,Alexandria,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68
2019-01-26,First Class,Carol Adams,Corporate,Rapid City,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96
2019-01-26,Standard Class,Shirley Daniels,Home Office,Alexandria,Jabra SPEAK 410,187.98
2019-01-26,Standard Class,Shirley Daniels,Home Office,Alexandria,Eldon Image Series Black Desk Accessories,12.42
2019-01-26,Standard Class,Shirley Daniels,Home Office,Alexandria,Macally Suction Cup Mount,155.35
2019-01-26,Standard Class,Shirley Daniels,Home Office,Alexandria,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44
2019-01-26,Standard Class,Shirley Daniels,Home Office,Alexandria,"SAFCO Commercial Wire Shelving, 72h",489.92
2019-01-26,Standard Class,Shirley Daniels,Home Office,Alexandria,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82
2019-01-26,First Class,Carol Adams,Corporate,Rapid City,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68
2019-01-27,Standard Class,Ed Jacobs,Consumer,San Diego,Recycled Steel Personal File for Hanging File Folders,57.23
2019-01-27,Standard Class,Ed Jacobs,Consumer,San Diego,Dixon Ticonderoga Core-Lock Colored Pencils,36.44
2019-01-27,Standard Class,Ed Jacobs,Consumer,San Diego,Balt Split Level Computer Training Table,333.0
2019-01-28,Standard Class,Jasper Cacioppo,Consumer,New York City,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93
2019-01-30,Standard Class,Mike Vittorini,Consumer,Detroit,Space Solutions HD Industrial Steel Shelving.,229.94
2019-01-30,Standard Class,Mike Vittorini,Consumer,Detroit,Xerox 1972,10.56
2019-01-31,First Class,Liz Carlisle,Consumer,Mission Viejo,"Sauder Facets Collection Library, Sky Alder Finish",290.67
2019-02-01,First Class,Bradley Drucker,Consumer,Green Bay,Enermax Aurora Lite Keyboard,468.9
2019-02-02,Standard Class,Eric Barreto,Consumer,Saint Petersburg,Surelock Post Binders,18.34
2019-02-02,Standard Class,Eric Barreto,Consumer,Saint Petersburg,AT&T 17929 Lendline Telephone,180.96
2019-02-02,Standard Class,Cynthia Delaney,Home Office,San Diego,Staples,12.35
2019-02-03,Second Class,Tom Boeckenhauer,Consumer,Seattle,Avery Durable Poly Binders,13.27
2019-02-03,Second Class,Tom Boeckenhauer,Consumer,Seattle,Ibico Laser Imprintable Binding System Covers,83.84
2019-02-04,Standard Class,Deborah Brumfield,Home Office,San Diego,GBC Recycled Grain Textured Covers,82.9
2019-02-04,Standard Class,Deborah Brumfield,Home Office,San Diego,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24
2019-02-04,Second Class,Mark Haberlin,Corporate,Escondido,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25
2019-02-06,First Class,Neil Ducich,Corporate,Chesapeake,AT&T CL82213,144.95
2019-02-06,First Class,Neil Ducich,Corporate,Chesapeake,Aastra 57i VoIP phone,161.61
2019-02-06,First Class,Neil Ducich,Corporate,Chesapeake,Avery 480,15.0
2019-02-06,Second Class,Delfina Latchford,Consumer,Romeoville,"Avery Flip-Chart Easel Binder, Black",8.95
2019-02-07,Standard Class,Cyma Kinney,Corporate,Linden,Maxell DVD-RAM Discs,115.36
2019-02-07,Second Class,Chris Selesnick,Corporate,New York City,Acco Perma 4000 Stacking Storage Drawers,64.96
2019-02-08,First Class,Nathan Mautz,Home Office,North Las Vegas,"Master Caster Door Stop, Large Brown",14.56
2019-02-11,Second Class,Guy Armstrong,Consumer,Columbia,Fellowes Neat Ideas Storage Cubes,64.96
2019-02-11,Second Class,Guy Armstrong,Consumer,Columbia,"Global Value Mid-Back Manager's Chair, Gray",60.89
2019-02-11,Second Class,Guy Armstrong,Consumer,Columbia,Avery 483,14.94
2019-02-11,Second Class,Guy Armstrong,Consumer,Columbia,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64
2019-02-11,Second Class,Guy Armstrong,Consumer,Columbia,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94
2019-02-11,Standard Class,Natalie Fritzler,Consumer,Chesapeake,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
2019-02-11,Second Class,Guy Armstrong,Consumer,Columbia,VariCap6 Expandable Binder,51.9
2019-02-11,Standard Class,Natalie Fritzler,Consumer,Chesapeake,Hon 2111 Invitation Series Corner Table,1256.22
2019-02-11,Standard Class,Natalie Fritzler,Consumer,Chesapeake,Enermax Aurora Lite Keyboard,234.45
2019-02-12,Standard Class,Sanjit Chand,Consumer,Concord,"Global Geo Office Task Chair, Gray",129.57
2019-02-14,Standard Class,Marina Lichtenstein,Corporate,Seattle,Compact Automatic Electric Letter Opener,238.62
2019-02-14,Standard Class,Marina Lichtenstein,Corporate,Seattle,Belkin 8 Outlet Surge Protector,81.96
2019-02-14,Standard Class,Marina Lichtenstein,Corporate,Seattle,Logitech G600 MMO Gaming Mouse,239.97
2019-02-14,Second Class,Shui Tom,Consumer,Houston,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.18
2019-02-15,Standard Class,Barry Französisch,Corporate,Seattle,Pressboard Data Binders by Wilson Jones,21.36
2019-02-16,Standard Class,Michael Nguyen,Consumer,Dallas,Wilson Jones Easy Flow II Sheet Lifters,1.08
2019-02-16,Standard Class,Michael Nguyen,Consumer,Dallas,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96
2019-02-17,Standard Class,Delfina Latchford,Consumer,Chicago,Staples in misc. colors,54.21
2019-02-18,Standard Class,Aaron Bergman,Consumer,Arlington,Akro Stacking Bins,12.62
2019-02-18,Same Day,Troy Blackwell,Consumer,Lubbock,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16
2019-02-20,Standard Class,Linda Cazamias,Corporate,Richmond,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31
2019-02-20,Standard Class,Linda Cazamias,Corporate,Richmond,"Master Caster Door Stop, Brown",20.32
2019-02-20,Standard Class,Steven Roelle,Home Office,Los Angeles,Xerox 204,12.96
2019-02-21,Standard Class,Tamara Manning,Consumer,Woodstock,GBC Standard Plastic Binding Systems Combs,8.85
2019-02-22,First Class,Sue Ann Reed,Consumer,Moreno Valley,Xerox 220,19.44
2019-02-23,Standard Class,Michael Grace,Home Office,El Paso,Staple-on labels,6.94
2019-02-23,Standard Class,Michael Grace,Home Office,El Paso,GBC Plastic Binding Combs,4.43
2019-02-24,Standard Class,Jennifer Halladay,Consumer,Medford,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.9
2019-02-24,Standard Class,Jennifer Halladay,Consumer,Medford,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22.78
2019-02-27,First Class,Joy Smith,Consumer,Columbus,Zebra Zazzle Fluorescent Highlighters,19.46
2019-03-01,Standard Class,Vicky Freymann,Home Office,Elmhurst,Novimex Swivel Fabric Task Chair,634.12
2019-03-01,Second Class,Dave Brooks,Consumer,Seattle,Global Deluxe High-Back Manager's Chair,457.57
2019-03-01,Standard Class,Shahid Collister,Consumer,El Paso,Harbour Creations Steel Folding Chair,362.25
2019-03-01,Standard Class,Shahid Collister,Consumer,El Paso,Plymouth Boxed Rubber Bands by Plymouth,18.84
2019-03-01,Standard Class,Hallie Redmond,Home Office,New York City,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94
2019-03-01,Standard Class,Giulietta Weimer,Consumer,Houston,Bevis Round Conference Room Tables and Bases,376.51
2019-03-01,Standard Class,Giulietta Weimer,Consumer,Houston,Recycled Steel Personal File for Hanging File Folders,137.35
2019-03-01,Standard Class,Shahid Collister,Consumer,El Paso,Fellowes Bankers Box Recycled Super Stor/Drawer,129.55
2019-03-01,Standard Class,Vicky Freymann,Home Office,Elmhurst,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47
2019-03-01,Standard Class,Shahid Collister,Consumer,El Paso,DAX Black Cherry Wood-Tone Poster Frame,63.55
2019-03-02,Standard Class,Kristina Nunn,Home Office,New York City,"Array Parchment Paper, Assorted Colors",36.4
2019-03-02,Standard Class,Kristina Nunn,Home Office,New York City,Staple envelope,11.36
2019-03-02,Standard Class,Nicole Hansen,Corporate,Philadelphia,Hypercom P1300 Pinpad,151.2
2019-03-02,Standard Class,Nicole Hansen,Corporate,Philadelphia,Xerox 1971,3.42
2019-03-03,Second Class,Ashley Jarboe,Consumer,Wilmington,Zebra Zazzle Fluorescent Highlighters,19.46
2019-03-03,Standard Class,Jill Stevenson,Corporate,Columbus,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45
2019-03-03,Standard Class,Sam Craven,Consumer,Houston,3.6 Cubic Foot Counter Height Office Refrigerator,176.77
2019-03-03,Standard Class,Eva Jacobs,Consumer,San Diego,"Bevis Oval Conference Table, Walnut",626.35
2019-03-03,Standard Class,Anne Pryor,Home Office,New York City,PowerGen Dual USB Car Charger,9.99
2019-03-03,Standard Class,Anne Pryor,Home Office,New York City,Ibico Laser Imprintable Binding System Covers,125.76
2019-03-03,Standard Class,Jill Stevenson,Corporate,Columbus,Avery 495,15.12
2019-03-03,Standard Class,Jill Stevenson,Corporate,Columbus,Eldon Shelf Savers Cubes and Bins,44.67
2019-03-03,Standard Class,Anne Pryor,Home Office,New York City,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25.32
2019-03-04,Standard Class,Sanjit Chand,Consumer,Margate,"BIC Brite Liner Highlighters, Chisel Tip",15.55
2019-03-04,Same Day,Clay Ludtke,Consumer,Columbia,Sensible Storage WireTech Storage Systems,354.9
2019-03-05,Second Class,Aimee Bixby,Consumer,Yonkers,Xerox 1891,97.82
2019-03-05,Second Class,Aimee Bixby,Consumer,Yonkers,Newell 345,59.52
2019-03-05,Second Class,Aimee Bixby,Consumer,Yonkers,Logitech Wireless Gaming Headset G930,479.97
2019-03-05,Second Class,Aimee Bixby,Consumer,Yonkers,Acme Forged Steel Scissors with Black Enamel Handles,18.62
2019-03-05,Second Class,Aimee Bixby,Consumer,Yonkers,GBC Wire Binding Combs,49.63
2019-03-07,Standard Class,Craig Molinari,Corporate,Seattle,"Global Leather and Oak Executive Chair, Black",481.57
2019-03-07,Standard Class,Craig Molinari,Corporate,Seattle,Office Star - Task Chair with Contemporary Loop Arms,436.7
2019-03-07,Standard Class,Craig Molinari,Corporate,Seattle,"Contico 72""H Heavy-Duty Storage System",204.9
2019-03-07,Standard Class,Craig Molinari,Corporate,Seattle,Newell Chalk Holder,20.65
2019-03-07,First Class,Aaron Bergman,Consumer,Seattle,"Global Push Button Manager's Chair, Indigo",48.71
2019-03-07,Second Class,Nora Pelletier,Home Office,Des Moines,Catalog Binders with Expanding Posts,107.65
2019-03-07,First Class,Aaron Bergman,Consumer,Seattle,Newell 330,17.94
2019-03-07,First Class,Aaron Bergman,Consumer,Seattle,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94
2019-03-10,Standard Class,Kean Thornton,Consumer,Denver,"BOSTON Ranger #55 Pencil Sharpener, Black",83.17
2019-03-10,Standard Class,Kean Thornton,Consumer,Denver,Tennsco 6- and 18-Compartment Lockers,636.41
2019-03-10,Standard Class,Scott Williamson,Consumer,Royal Oak,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22.38
2019-03-11,Standard Class,Richard Bierner,Consumer,Roseville,Economy #2 Pencils,7.98
2019-03-11,Second Class,Filia McAdams,Corporate,Richmond,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",146.76
2019-03-11,Second Class,Chloris Kastensmidt,Consumer,Columbus,Eldon Wave Desk Accessories,8.32
2019-03-11,Second Class,Chloris Kastensmidt,Consumer,Columbus,Stockwell Push Pins,10.46
2019-03-11,Second Class,Filia McAdams,Corporate,Richmond,Maxell DVD-RAM Discs,32.96
2019-03-11,Second Class,Filia McAdams,Corporate,Richmond,Xerox 198,14.94
2019-03-11,Second Class,Kelly Andreada,Consumer,New York City,"Southworth 100% Résumé Paper, 24lb.",108.92
2019-03-11,Second Class,Filia McAdams,Corporate,Richmond,Panasonic KX-TG9471B,587.97
2019-03-14,Standard Class,Christine Kargatis,Home Office,Chesapeake,Global Commerce Series High-Back Swivel/Tilt Chairs,1139.92
2019-03-14,Standard Class,Dean Katz,Corporate,Huntington Beach,Xerox 1972,10.56
2019-03-14,Standard Class,Neil Französisch,Home Office,Jacksonville,Xerox 1887,91.06
2019-03-14,Standard Class,Jason Fortune-,Consumer,Logan,GBC Wire Binding Combs,33.09
2019-03-14,Standard Class,Jason Fortune-,Consumer,Logan,Carina Double Wide Media Storage Towers in Natural & Black,80.98
2019-03-14,Standard Class,Jason Fortune-,Consumer,Logan,Imation 30456 USB Flash Drive 8GB,82.8
2019-03-14,Standard Class,Jason Fortune-,Consumer,Logan,Staple magnet,21.36
2019-03-14,Standard Class,Jason Fortune-,Consumer,Logan,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",62.05
2019-03-14,Standard Class,Dean Katz,Corporate,Huntington Beach,Avery Hi-Liter Fluorescent Desk Style Markers,3.38
2019-03-14,First Class,Rick Bensley,Home Office,Chicago,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91
2019-03-14,First Class,Rick Bensley,Home Office,Chicago,Xerox 1963,8.45
2019-03-15,Standard Class,Alan Shonely,Consumer,Tampa,GBC VeloBinder Manual Binding System,43.19
2019-03-15,Standard Class,Alan Shonely,Consumer,Tampa,"Hot File 7-Pocket, Floor Stand",142.78
2019-03-15,Standard Class,Alan Shonely,Consumer,Tampa,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.7
2019-03-15,Standard Class,Alan Shonely,Consumer,Tampa,Insertable Tab Post Binder Dividers,7.22
2019-03-15,Standard Class,Alan Shonely,Consumer,Tampa,Xerox 1889,131.9
2019-03-16,Second Class,Kristina Nunn,Home Office,Raleigh,Polycom VoiceStation 500 Conference phone,471.92
2019-03-17,Standard Class,Mark Haberlin,Corporate,Jackson,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11.43
2019-03-17,Standard Class,Mark Haberlin,Corporate,Jackson,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",30.44
2019-03-17,Standard Class,Mark Haberlin,Corporate,Jackson,Xerox 1957,12.96
2019-03-17,Second Class,Quincy Jones,Corporate,Philadelphia,Xerox 1909,126.62
2019-03-17,Standard Class,Christine Phan,Corporate,New York City,"Hon 30"" x 60"" Table with Locking Drawer",613.91
2019-03-17,Standard Class,Christine Phan,Corporate,New York City,Xerox 1926,34.86
2019-03-17,Standard Class,Bradley Nguyen,Consumer,Lakeville,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,35.88
2019-03-17,Standard Class,Bradley Nguyen,Consumer,Lakeville,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,53.4
2019-03-17,Standard Class,Bradley Nguyen,Consumer,Lakeville,Newell 35,19.68
2019-03-17,Standard Class,Christine Phan,Corporate,New York City,Xerox 1918,155.04
2019-03-17,Same Day,Annie Zypern,Consumer,Dallas,Newell 333,4.45
2019-03-17,Standard Class,Christine Phan,Corporate,New York City,Balt Solid Wood Round Tables,1071.58
2019-03-17,Same Day,Annie Zypern,Consumer,Dallas,Xerox 1967,15.55
2019-03-17,Standard Class,Bradley Nguyen,Consumer,Lakeville,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",47.18
2019-03-17,Standard Class,Christine Phan,Corporate,New York City,Bretford Rectangular Conference Table Tops,1579.75
2019-03-17,Standard Class,Mark Haberlin,Corporate,Jackson,EcoTones Memo Sheets,16.0
2019-03-17,Standard Class,Mark Haberlin,Corporate,Jackson,Belkin 6 Outlet Metallic Surge Strip,32.67
2019-03-17,Same Day,Annie Zypern,Consumer,Dallas,Xerox 1966,5.18
2019-03-17,Standard Class,Bradley Nguyen,Consumer,Lakeville,Bionaire Personal Warm Mist Humidifier/Vaporizer,93.78
2019-03-18,Standard Class,Sean Miller,Home Office,Jacksonville,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,821.3
2019-03-18,Standard Class,Sean Miller,Home Office,Jacksonville,"Dana Fluorescent Magnifying Lamp, White, 36""",122.35
2019-03-18,Standard Class,Sean Miller,Home Office,Jacksonville,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
2019-03-18,Standard Class,Sample Company A,Home Office,Burbank,Tennsco 6- and 18-Compartment Lockers,1856.19
2019-03-18,Standard Class,Sean Miller,Home Office,Jacksonville,Xerox 195,21.38
2019-03-18,Standard Class,Sean Miller,Home Office,Jacksonville,Staples,18.94
2019-03-18,Standard Class,Sean Miller,Home Office,Jacksonville,"Executive Impressions 13"" Clairmont Wall Clock",30.77
2019-03-18,Standard Class,Sample Company A,Home Office,Burbank,Eldon Cleatmat Chair Mats for Medium Pile Carpets,111.0
2019-03-18,Standard Class,Sean Miller,Home Office,Jacksonville,Avery Fluorescent Highlighter Four-Color Set,8.02
2019-03-18,Second Class,Eileen Kiefer,Home Office,San Francisco,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198.33
2019-03-18,Standard Class,Sample Company A,Home Office,Burbank,Swingline SM12-08 MicroCut Jam Free Shredder,1279.97
2019-03-19,First Class,Matt Connell,Corporate,Lakeland,"Logitech Wireless Boombox Speaker - portable - wireless, wired",170.24
2019-03-19,First Class,Matt Connell,Corporate,Lakeland,Cisco 8x8 Inc. 6753i IP Business Phone System,323.98
2019-03-19,First Class,Matt Connell,Corporate,Lakeland,Document Clip Frames,20.02
2019-03-19,First Class,Matt Connell,Corporate,Lakeland,Avery 501,11.81
2019-03-19,First Class,Matt Connell,Corporate,Lakeland,Crate-A-Files,26.16
2019-03-19,First Class,Matt Connell,Corporate,Lakeland,"Avery Flip-Chart Easel Binder, Black",33.57
2019-03-19,First Class,Matt Connell,Corporate,Lakeland,Eldon Wave Desk Accessories,4.99
2019-03-21,Standard Class,Kristen Hastings,Corporate,Springfield,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",122.94
2019-03-21,Standard Class,Gary McGarr,Consumer,Knoxville,Global Highback Leather Tilter in Burgundy,218.38
2019-03-21,Standard Class,Kristen Hastings,Corporate,Springfield,Xerox 1919,122.97
2019-03-21,Standard Class,Kristen Hastings,Corporate,Springfield,American Pencil,9.32
2019-03-21,Standard Class,Gary McGarr,Consumer,Knoxville,DAX Wood Document Frame,32.95
2019-03-21,Standard Class,Gary McGarr,Consumer,Knoxville,Avery 505,59.2
2019-03-21,Standard Class,Kristen Hastings,Corporate,Springfield,Samsung Galaxy S4 Active,3499.93
2019-03-21,Standard Class,Cassandra Brandow,Consumer,Hamilton,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.05
2019-03-21,Standard Class,Cassandra Brandow,Consumer,Hamilton,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.41
2019-03-21,Standard Class,Thomas Seio,Corporate,Asheville,Tennsco Commercial Shelving,16.27
2019-03-21,Standard Class,Kristen Hastings,Corporate,Springfield,Avery 492,14.4
2019-03-22,Standard Class,Beth Fritzler,Corporate,Tucson,Office Star - Mesh Screen back chair with Vinyl seat,314.35
2019-03-22,Standard Class,Craig Carroll,Consumer,Greensboro,GBC Prestige Therm-A-Bind Covers,51.46
2019-03-22,Standard Class,Beth Fritzler,Corporate,Tucson,Xerox 1951,74.35
2019-03-22,Standard Class,Craig Carroll,Consumer,Greensboro,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",7.64
2019-03-22,Same Day,Vivian Mathis,Consumer,Portage,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",16.28
2019-03-23,First Class,Bruce Geld,Consumer,Delray Beach,Avery 476,9.91
2019-03-23,Second Class,Patrick O'Donnell,Consumer,Los Angeles,Ooma Telo VoIP Home Phone System,604.75
2019-03-23,Second Class,Patrick O'Donnell,Consumer,Los Angeles,Economy Rollaway Files,330.4
2019-03-24,Second Class,Maurice Satty,Consumer,Fresno,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",40.48
2019-03-24,Standard Class,Carlos Daly,Consumer,New York City,Xerox 190,24.9
